?LEWI?SKI,_W?adis?aw 19244
DALMAU,_Lluis 20017
DALOU,_Jules 20018
DALSGAARD,_Christen 20019
DANCE-HOLLAND,_Nathaniel 20020
DANDINI,_Cesare 20021
DANDINI,_Pietro 20022
DANDRÉ-BARDON,_Michel-François 20023
DANHAUSER,_Josef_Franz 20024
DANIELE_da_Volterra 20025
DANLOUX,_Henri-Pierre 20026
DARET,_Jacques 20027
DAUBIGNY,_Charles-François 20028
DAUBIGNY,_Karl 20029
DAUMIER,_Honoré 20030
DAUZATS,_Adrien 20031
DAVID,_Gerard 20032
DAVID,_Jacques-Louis 20033
DAVIS,_Richard_Barrett 20034
DAWE,_George 20035
DEBUCOURT,_Philibert-Louis 20036
DECAMPS,_Alexandre_Gabriel 20037
DECKER,_Cornelis_Gerritsz 20038
DEDREUX,_Alfred 20039
DEGAS,_Edgar 20040
DELACROIX,_Eug?ne 20041
DELANE,_Solomon 20042
DELAROCHE,_Paul 20043
DELEN,_Dirck_van 20044
DELFF,_Cornelis_Jacobsz 20045
DELFF,_Jacob_Willemsz_I 20046
DELFF,_Jacob_Willemsz_II 20047
DELPY,_Hippolyte-Camille 20048
DEMARNE,_Jean-Louis 20049
DEMIN,_Giovanni 20050
DENIS,_Simon-Joseph-Alexandre-Clément 20051
DEODATO_DI_ORLANDI 20052
DEPPE,_Ludwig 20053
DERUET,_Claude 20054
DESBOUTIN,_Marcellin 20055
DESHAYS,_Jean-Baptiste 20056
DESPORTES,_Alexandre-François 20057
DESUBLEO,_Michele 20058
DETAILLE,_Jean_Baptiste_Edouard 20059
DEVIS,_Anthony 20060
DEVIS,_Arthur 20061
DEVIS,_Arthur_William 20062
DEVÉRIA,_Eug?ne-François-Marie-Joseph 20063
DEWHURST,_Wynford 20064
DEWING,_Thomas_Wilmer 20065
DEÁK-ÉBNER,_Lajos 20066
DIANA,_Benedetto 20067
DIANA,_Giacinto 20068
DIAZ_DE_LA_PE?A,_Narcisse_Virgile 20069
DIETISALVI_DI_SPEME 20070
DIETRICH,_Christian_Wilhelm_Ernst 20071
DIEUSSART,_François 20072
DIJCK,_Abraham_van 20073
DIJCK,_Floris_Claesz_van 20074
DIJK,_Philip_van 20075
DILLENS,_Hendrick_Joseph 20076
DIZIANI,_Antonio 20077
DIZIANI,_Gaspare 20078
DOBSON,_William 20079
DOLCI,_Carlo 20080
DOMENICHINI,_Apollonio 20081
DOMENICHINO 20082
DOMENICO_DA_TOLMEZZO 20083
DOMENICO_DI_BARTOLO 20084
DOMENICO_DI_MICHELINO 20085
DOMENICO_VENEZIANO 20086
DONATO 20087
DONCK,_Gerard 20088
DONCKT,_François_van_der 20089
DONÁT,_János 20090
DORFFMEISTER,_István 20091
DORFFMEISTER,_József 20092
DORIGNY,_Louis 20093
DORIGNY,_Michel 20094
DOSSI,_Battista 20095
DOSSI,_Dosso 20096
DOU,_Gerrit 20097
DOUFFET,_Gérard 20098
DOUVEN,_Frans_Bartholomeus 20099
DOUVEN,_Jan_Frans 20100
DRECHSLER,_Johann_Baptist 20101
DREYER,_Dankvart 20102
DROLLING,_Martin 20103
DROOCHSLOOT,_Joost_Cornelisz. 20104
DROST,_Willem 20105
DROUAIS,_François-Hubert 20106
DROUAIS,_Jean-Germain 20107
DUBBELS,_Hendrik_Jakobsz. 20108
DUBOIS-DRAHONET,_Alexandre-Jean 20109
DUBOIS-PILLET,_Albert 20110
DUBORDIEU,_Pieter 20111
DUBREUIL,_Toussaint 20112
DUBUFE,_Claude-Marie 20113
DUCCIO_di_Buoninsegna 20114
DUCK,_Jacob 20115
DUCQ,_Joseph-François 20116
DUCREUX,_Rose-Adélaide 20117
DUGHET,_Gaspard 20118
DUGONI,_Antonio 20119
DUJARDIN,_Karel 20120
DUMONSTIER,_Pierre 20121
DUMONT,_François 20122
DUNOUY,_Alexandre_Hyacinthe 20123
DUPLESSIS,_Joseph-Siffred 20124
DUPRÉ,_Jules 20125
DUPRÉ,_Julien 20126
DUPRÉ,_Louis 20127
DUPUYS,_Pierre 20128
DURAND,_Asher_Brown 20129
DURAND-BRAGER,_Jean_Baptiste_Henri 20130
DUSART,_Cornelis 20131
DUYFHUIJSEN,_Pieter_Jacobsz. 20132
DUYNEN,_Isaac_van 20133
DUYSTER,_Willem_Cornelisz. 20134
DYCE,_William 20135
DYCK,_Sir_Anthony_van 20136
DÍAZ,_Diego_Valentín 20137
DÜRER,_Albrecht 20138
EAKINS,_Thomas 20139
EARL,_Ralph 20140
ECKARDT,_Christian_Frederik_Emil 20141
ECKERSBERG,_Christoffer_Wilhelm 20142
EDELFELT,_Albert 20143
EECKHOUT,_Gerbrand_van_den 20144
EERTVELT,_Andries_van 20145
EGMONT,_Justus_van 20146
EKELS,_Jan_II 20147
ELIAERTS,_Jan_Frans 20148
ELINGA,_Pieter_Janssens 20149
ELSEVIER,_Louys_Aernoutsz 20150
ELSHEIMER,_Adam 20151
ENDER,_Johann 20152
ENDER,_Thomas 20153
ENGEBRECHTSZ.,_Cornelis 20154
ENGERT,_Erasmus 20155
ENSOR,_James 20156
EPINAY,_Prosper_d' 20157
ERIKSEN,_Vigilius 20158
ERRI,_Agnolo_degli 20159
ERRI,_Bartolomeo_degli 20160
ES,_Jacob_van 20161
ESCALANTE,_Juan_Antonio_Frias_y 20162
ESPINOSA,_Juan_Bautista_de 20163
ESPINOSA,_Juan_de 20164
ESQUIVEL_Y_SUÁREZ_DE_URBINA,_Antonio_Maria 20165
ESSELENS,_Jacob 20166
ESTEVE_Y_MARQUES,_Agustín 20167
EVENEPOEL,_Henri 20168
EVERDINGEN,_Allaert_van 20169
EVERDINGEN,_Caesar_van 20170
EVERSDIJCK,_Willem 20171
EXNER,_Johan_Julius 20172
EYCK,_Barthélemy_d' 20173
EYCK,_Gaspard_van 20174
EYCK,_Hubert_van 20175
EYCK,_Jan_van 20176
FABBRINI,_Giuseppe_Antonio 20177
FABER_VON_CREUZNACH,_Conrad 20178
FABRE,_François-Xavier 20179
FABRIS,_Pietro 20180
FABRITIUS,_Barent 20181
FABRITIUS,_Carel 20182
FACCHETTI,_Pietro 20183
FACCINI,_Pietro 20184
FAGAN,_Robert 20185
FALCIATORE,_Filippo 20186
FALCONE,_Aniello 20187
FALCONETTO,_Giovanni_Maria 20188
FANTIN-LATOUR,_Henri 20189
FANZAGO,_Cosimo 20190
FARGUE,_Jacob_Elias_La 20191
FARGUE,_Paulus_Constantijn_La 20192
FARINATI,_Paolo 20193
FASOLO,_Bernardino 20194
FASOLO,_Giovanni_Antonio 20195
FATTORI,_Giovanni 20196
FAVRETTO,_Giacomo 20197
FEARNLEY,_Thomas 20198
FEDDES,_Pieter 20199
FENDI,_Peter 20200
FERENCZY,_Károly 20201
FERG,_Franz_de_Paula 20202
FERNANDES,_Vasco 20203
FERNELEY,_John 20204
FERNÁNDEZ,_Alejo 20205
FERNÁNDEZ,_Juan 20206
FERNÁNDEZ,_Pedro 20207
FERRARI,_Defendente 20208
FERRARI,_Gaudenzio 20209
FERRARI,_Gregorio_de 20210
FERRARI,_Lorenzo_de' 20211
FERRARI,_Luca 20212
FERRI,_Ciro 20213
FETTI,_Domenico 20214
FETTI,_Lucrina 20215
FEUERBACH,_Anselm_Friedrich 20216
FIAMMINGO,_Paolo 20217
FICHERELLI,_Felice 20218
FIDANI,_Orazio 20219
FIGINO,_Giovanni_Ambrogio 20220
FILIPPO_DA_VERONA 20221
FINCH,_Alfred_William 20222
FINSON,_Louis 20223
FINÉ,_Oronce 20224
FIORENZO_DI_LORENZO 20225
FISCHBACH,_Johann 20226
FISCHER,_Josef_Vinzenz 20227
FLAMENG,_François 20228
FLANDRIN,_Hippolyte 20229
FLEGEL,_Georg 20230
FLINCK,_Govert_Teunisz. 20231
FLORIGERIO,_Sebastiano 20232
FLORIS,_Frans 20233
FLÉMAL,_Bertholet 20234
FOCCHI,_Ferdinando 20235
FOGOLINO,_Marcello 20236
FOHR,_Carl_Philipp 20237
FONTANA,_Lavinia 20238
FONTANA,_Prospero 20239
FONTANESI,_Antonio 20240
FONTEBASSO,_Francesco 20241
FOPPA,_Vincenzo 20242
FORABOSCO,_Girolamo 20243
FORAIN,_Jean-Louis 20244
FORTE,_Luca 20245
FORTUNY_Y_MARSAL,_Mariano 20246
FOSCHI,_Francesco 20247
FOSCHI,_Pierfrancesco_di_Jacopo 20248
FOUQUET,_Jean 20249
FOUQUIER,_Jacques 20250
FRAGONARD,_Alexandre-Évariste 20251
FRAGONARD,_Jean-Honoré 20252
FRANCESCHINI,_Baldassarre 20253
FRANCESCHINI,_Marcantonio 20254
FRANCESCO_D'ANTONIO_DI_BARTOLOMMEO 20255
FRANCESCO_DA_RIMINI 20256
FRANCESCO_DE'_FRANCESCHI 20257
FRANCESCO_DI_GIORGIO_MARTINI 20258
FRANCESCO_DI_SIMONE_DA_SANTACROCE 20259
FRANCESCO_DI_VANNUCCIO 20260
FRANCHI,_Antonio 20261
FRANCHOYS,_Pieter 20262
FRANCIA,_Francesco 20263
FRANCIABIGIO 20264
FRANCKEN,_Frans_II 20265
FRANCKEN,_Frans_III 20266
FRANCKEN,_Hieronymus,_I 20267
FRANCKEN,_Hieronymus,_II 20268
FRANCKEN,_Hieronymus,_III 20269
FRANCO,_Battista 20270
FRANCÉS,_Nicolás 20271
FRANGIPANE,_Niccol? 20272
FRANQUE,_Jean-Pierre 20273
FRATELLINI,_Giovanna 20274
FREDIANI,_Vincenzo_di_Antonio 20275
FREY,_Johannes_Jakob 20276
FRIEDRICH,_Caspar_David 20277
FRIESEKE,_Frederick_Carl 20278
FROMANTIOU,_Hendrick_de 20279
FROMENT,_Nicolas 20280
FROMENTIN,_Eug?ne 20281
FROST,_William_Edward 20282
FRUEAUF,_Rueland_the_Elder 20283
FUMIANI,_Giovanni_Antonio 20284
FUNGAI,_Bernardino 20285
FURINI,_Francesco 20286
FUSELI,_John_Henry 20287
FYT,_Jan 20288
FÉNYES,_Adolf 20289
FÜGER,_Friedrich_Heinrich 20290
FÜHRICH,_Joseph_von 20291
GABBIANI,_Anton_Domenico 20292
GADDI,_Agnolo 20293
GADDI,_Gaddo 20294
GADDI,_Taddeo 20295
GAGNERAUX,_Bénigne 20296
GAINSBOROUGH,_Thomas 20297
GALEN,_Nicolaes_van 20298
GALEOTTI,_Sebastiano 20299
GALIZIA,_Fede 20300
GALLARDO,_Mateo 20301
GALLE,_Hieronymus 20302
GALLEGO,_Fernando 20303
GALLEN-KALLELA,_Akseli 20304
GALLIARI,_Bernardino 20305
GAMBARA,_Lattanzio 20306
GANDOLFI,_Gaetano 20307
GANDOLFI,_Mauro 20308
GANDOLFI,_Ubaldo 20309
GANDOLFINO_DA_RORETO 20310
GARBIERI,_Lorenzo 20311
GARCIA,_Pere 20312
GAREMIJN,_Jan_Antoon 20313
GARGIULO,_Domenico 20314
GARNIER,_François 20315
GAROFALO 20316
GAROLI_Pietro_Francesco 20317
GARRARD,_George 20318
GARZI,_Luigi 20319
GARZONI,_Giovanna 20320
GASCAR,_Henri 20321
GASSEL,_Lucas 20322
GASSIES,_Jean-Bruno 20323
GATTI,_Bernardino 20324
GAUFFIER,_Louis 20325
GAUGUIN,_Paul 20326
GEEL,_Jacob_van 20327
GEERTGEN_tot_Sint_Jans 20328
GEFFELS,_Frans 20329
GELATI,_Lorenzo 20330
GELDER,_Aert_de 20331
GELDORP,_Gortzius 20332
GEMITO,_Vincenzo 20333
GENGA,_Girolamo 20334
GENNARI,_Benedetto_I 20335
GENNARI,_Benedetto_II 20336
GENNARI,_Cesare 20337
GENTILE_DA_FABRIANO 20338
GENTILESCHI,_Artemisia 20339
GENTILESCHI,_Orazio 20340
GERUNG,_Matthias 20341
GERVEX,_Henri 20342
GHEERAERTS,_Marcus_the_Younger 20343
GHERARDI,_Antonio 20344
GHERARDI,_Cristofano 20345
GHERARDI,_Filippo 20346
GHERARDINI,_Tommaso 20347
GHERARDO_DI_GIOVANNI_DEL_FORA 20348
GHERARDUCCI,_Don_Silvestro_dei 20349
GHEYN,_Jacob_de_II 20350
GHEZZI,_Pier_Leone 20351
GHIRLANDAIO,_Davide 20352
GHIRLANDAIO,_Domenico 20353
GHIRLANDAIO,_Ridolfo 20354
GHISLANDI,_Giuseppe 20355
GHISOLFI,_Giovanni 20356
GIAMBONO,_Michele 20357
GIAMPIETRINO 20358
GIANI,_Felice 20359
GIANNICOLA_DI_PAOLO 20360
GIAQUINTO,_Corrado 20361
GIBSON,_Thomas 20362
GIGOLA,_Giambattista 20363
GIJSBRECHTS,_Cornelis_Norbertus 20364
GIJSBRECHTS,_Franciscus 20365
GIJSELS,_Pieter 20366
GILLEMANS,_Jan_Pauwel_the_Elder 20367
GILLEMANS,_Jan_Pauwel_the_Younger 20368
GILLIS,_Nicolaes 20369
GILLOT,_Claude 20370
GILMAN,_Harold 20371
GILPIN,_Sawrey 20372
GIMENO_ARASA,_Francisco 20373
GIOLFINO,_Niccol? 20374
GIORDANO,_Luca 20375
GIORGIONE 20376
GIOTTINO 20377
GIOTTO_di_Bondone 20378
GIOVANETTI,_Matteo 20379
GIOVANNI_AGOSTINO_DA_LODI 20380
GIOVANNI_ANGELO_D'ANTONIO 20381
GIOVANNI_D'ALEMAGNA 20382
GIOVANNI_DA_MILANO 20383
GIOVANNI_DA_MODENA 20384
GIOVANNI_DA_ORIOLO 20385
GIOVANNI_DA_RIMINI 20386
GIOVANNI_DA_SAN_GIOVANNI 20387
GIOVANNI_DA_UDINE 20388
GIOVANNI_DAL_PONTE 20389
GIOVANNI_DEL_BIONDO 20390
GIOVANNI_DI_BARTOLOMEO_CRISTIANI 20391
GIOVANNI_DI_FRANCESCO_DEL_CERVELLIERA 20392
GIOVANNI_DI_NICOLA_DA_PISA 20393
GIOVANNI_DI_PAOLO 20394
GIOVANNI_DI_PIAMONTE 20395
GIOVANNI_FRANCESCO_DA_RIMINI 20396
GIOVANNI_da_Bologna 20397
GIRODET_DE_ROUCY-TRIOSON,_Anne-Louis 20398
GIROLAMO_DA_TREVISO_the_Younger 20399
GIROLAMO_DI_BENVENUTO 20400
GIROLAMO_DI_GIOVANNI_DA_CAMERINO 20401
GIROLAMO_del_Pacchia 20402
GIULIO_ROMANO 20403
GIUNTA_PISANO 20404
GIUSTO_de'_Menabuoi 20405
GLAMA_STRÖBERLE,_Jo?o 20406
GLEYRE,_Charles-Gabriel 20407
GLOVER,_John 20408
GOBERT,_Pierre 20409
GOBIN,_Michel 20410
GODERIS,_Hans 20411
GOENEUTTE,_Norbert 20412
GOES,_Hugo_van_der 20413
GOGH,_Vincent_van 20414
GOLTZIUS,_Hendrick 20415
GONZAL?S,_Eva 20416
GONZÁLEZ_VELÁZQUEZ,_Antonio 20417
GONZÁLEZ_VELÁZQUEZ,_Zacarías 20418
GONZÁLEZ_Y_SERRANO,_Bartolomé 20419
GONÇALVES,_Nuno 20420
GOOCH,_Thomas 20421
GORDIGIANI,_Michele 20422
GORDON,_John_Watson 20423
GORE,_Spencer_Frederick 20424
GOSSART,_Jan 20425
GOSSE,_Nicolas-Louis-François 20426
GOTTSCHALK,_Albert 20427
GOURMONT,_Jean_de 20428
GOVAERTS,_Abraham 20429
GOYA_Y_LUCIENTES,_Francisco_de 20430
GOYEN,_Jan_van 20431
GOZZOLI,_Benozzo 20432
GRAAT,_Barent 20433
GRAEB,_Carl_Georg_Anton 20434
GRAFF,_Anton 20435
GRAMATICA,_Antiveduto 20436
GRAN,_Daniel 20437
GRANACCI,_Francesco 20438
GRANET,_François-Marius 20439
GRASDORP,_Willem 20440
GRASSI,_Nicola 20441
GREBBER,_Frans_Pietersz._de 20442
GREBBER,_Pieter_de 20443
GRECO,_El 20444
GRECO,_Gennaro 20445
GREGORIO_DI_CECCO 20446
GREGORIUS,_Albert 20447
GREUZE,_Jean-Baptiste 20448
GREVENBROECK,_Alessandro 20449
GREVENBROECK,_Orazio 20450
GRIFFIER,_Jan_I 20451
GRIFO_DI_TANCREDI 20452
GRIGOLETTI,_Michelangelo 20453
GRIGORESCU,_Nicolae 20454
GRIMALDI,_Giovanni_Francesco 20455
GRIMMER,_Abel 20456
GRIMMER,_Jacob 20457
GRIMOU,_Alexis 20458
GRISÉE,_Louis-Joseph 20459
GROHAR,_Ivan 20460
GRONDONCK,_Bartholomeus 20461
GROS,_Antoine-Jean 20462
GRUBACS,_Carlo 20463
GRUND,_Norbert 20464
GRYEF,_Adriaen_de 20465
GRÉSELY,_Gabriel-Gaspard 20466
GRÜNEWALD,_Matthias 20467
GUALTIERO_PADOVANO 20468
GUARANA,_Jacopo 20469
GUARDI,_Francesco 20470
GUARDI,_Giacomo 20471
GUARDI,_Gianantonio 20472
GUARIENTO_d'Arpo 20473
GUARINO,_Francesco 20474
GUERCINO 20475
GUGLIELMI,_Gregorio 20476
GUGLIELMO_VENEZIANO 20477
GUIDO_DA_SIENA 20478
GUIDO_DI_GRAZIANO 20479
GUIDOBONO,_Bartolomeo 20480
GUIDOBONO,_Domenico 20481
GUIDOTTI,_Paolo 20482
GUILLAUMIN,_Armand 20483
GUNDELACH,_Matthäus 20484
GUTHRIE,_James 20485
GUTIÉRREZ_CABELLO,_Francisco 20486
GUTIÉRREZ,_Juan_Simón 20487
GUTTENBRUNN,_Ludwig 20488
GUÉRIN,_Jean-Urbain 20489
GUÉRIN,_Paulin-Jean-Baptiste 20490
GUÉRIN,_Pierre-Narcisse 20491
GÄRTNER,_Eduard 20492
GÉRARD,_François 20493
GÉRARD,_Marguerite 20494
GÉRICAULT,_Théodore 20495
GÉRÔME,_Jean-Léon 20496
GÜNTHER,_Matthäus 20497
HAAGEN,_Joris_Abrahamsz._van_der 20498
HABERLE,_John 20499
HABERT,_François 20500
HACKAERT,_Jan 20501
HACKERT,_Jacob_Philipp 20502
HAECHT,_Willem_van 20503
HAEN,_David_de 20504
HAENSBERGEN,_Johan_van 20505
HAES,_Carlos_de 20506
HAFFNER,_Enrico_Giovanni 20507
HAGEN,_August_Mathias 20508
HAGUENAUER,_Nikolaus 20509
HALE,_Philip_Leslie 20510
HALL,_Peter_Adolf 20511
HALLÉ,_Noël 20512
HALS,_Dirck 20513
HALS,_Frans 20514
HALS,_Frans_II 20515
HALS,_Harmen 20516
HALS,_Nicolaes 20517
HAMEN,_Juan_van_der 20518
HAMILTON,_Gavin 20519
HAMILTON,_Hugh_Douglas 20520
HAMILTON,_Johann_Georg_de 20521
HAMILTON,_John 20522
HAMILTON,_Philipp_Ferdinand_de 20523
HAMILTON,_William 20524
HAMMERSH?I,_Vilhelm 20525
HANNEMAN,_Adriaen 20526
HANSCH,_Anton 20527
HANSEN,_Constantin 20528
HARLOW,_George_Henry 20529
HARNETT,_William_Michael 20530
HARPIGNIES,_Henri-Joseph 20531
HARTMANN,_Johannes_Jakob 20532
HASENCLEVER,_Johann_Peter 20533
HASSAM,_Childe 20534
HASSELT,_Jacob_Gerritsz._van 20535
HAU,_Edward_Petrovich 20536
HAUDEBOURT-LESCOT,_Hortense 20537
HAVERMAN,_Margareta 20538
HAWKINS,_Louis_Welden 20539
HAYDON,_Benjamin_Robert 20540
HAYEZ,_Francesco 20541
HAYTER,_George 20542
HEADE,_Martin_Johnson 20543
HEDA,_Willem_Claesz. 20544
HEEM,_Cornelis_de 20545
HEEM,_David_Cornelisz._de 20546
HEEM,_Jan_Davidsz._de 20547
HEEMSKERCK,_Egbert_van,_the_Younger 20548
HEEMSKERCK,_Maerten_van 20549
HEEREMANS,_Thomas 20550
HEIDELOFF,_Josef 20551
HEIM,_François-Joseph 20552
HEINTZ,_Joseph_the_Elder 20553
HEINTZ,_Joseph_the_Younger 20554
HEISS,_Johann 20555
HELLEU,_Paul-César 20556
HELMONT,_Mattheus_van 20557
HELST,_Bartholomeus_van_der 20558
HELT_STOCKADE,_Nicolaes_van 20559
HEMESSEN,_Catharina_van 20560
HEMESSEN,_Jan_Sanders_van 20561
HENNINGSEN,_Frants_Peter_Diderik 20562
HERLIN,_Friedrich 20563
HERP,_Willem_van,_the_Elder 20564
HERRERA,_Francisco_de,_the_Elder 20565
HERRERA,_Francisco_de,_the_Younger 20566
HERREYNS,_Willem 20567
HERRING,_John_Frederick_the_Elder 20568
HERRING,_John_Frederick_the_Younger 20569
HESS,_Heinrich_Maria_von 20570
HESS,_Peter_von 20571
HETSCH,_Philipp_Friedrich_von 20572
HEUSCH,_Jacob_de 20573
HEUSCH,_Willem_de 20574
HEUSSEN,_Claes_van 20575
HEYDEN,_Jan_van_der 20576
HEYERDAHL,_Hans_Olaf 20577
HICKEY,_Thomas 20578
HIEPES,_Tomás 20579
HIGHMORE,_Joseph 20580
HILLIARD,_Nicholas 20581
HOARE,_Prince 20582
HOARE,_William 20583
HOBBEMA,_Meyndert 20584
HOCHHAUSER,_Ephraim 20585
HODGES,_William 20586
HODLER,_Ferdinand 20587
HOECKE,_Jan_van_den 20588
HOEFNAGEL,_Joris 20589
HOET,_Gerard_I 20590
HOFFMANN,_Hans 20591
HOGARTH,_William 20592
HOLBEIN,_Ambrosius 20593
HOLBEIN,_Hans_the_Elder 20594
HOLBEIN,_Hans_the_Younger 20595
HOLL,_Frank 20596
HOLLÓSY,_Simon 20597
HOLSTEYN,_Cornelis 20598
HOLT,_Edwin_Frederick 20599
HOMER,_Winslow 20600
HONDECOETER,_Gijsbert_Gillisz._de 20601
HONDECOETER,_Gillis_Claesz._d' 20602
HONDECOETER,_Melchior_d' 20603
HONDIUS,_Abraham_Danielsz. 20604
HONE,_Nathaniel_the_Elder 20605
HONTHORST,_Gerrit_van 20606
HOOCH,_Pieter_de 20607
HOOGSTRATEN,_Samuel_van 20608
HOPPNER,_John 20609
HOREMANS,_Jan_Jozef_I 20610
HOREMANS,_Jan_Jozef_II 20611
HORENBOUT,_Gerard 20612
HORENBOUT,_Lucas 20613
HOUASSE,_Michel-Ange 20614
HOUBRAKEN,_Arnold 20615
HOUCKGEEST,_Gerard 20616
HOWARD,_Henry 20617
HUBER,_Jean 20618
HUBER,_Wolf 20619
HUCHTENBURG,_Jan_van 20620
HUDE?EK,_Antonín 20621
HUDSON,_Thomas 20622
HUET,_Christophe 20623
HUET,_Jean-Baptiste-Marie_I 20624
HUGGINS,_William_John 20625
HUGUET,_Jaume 20626
HUILLIOT,_Pierre_Nicolas 20627
HULSDONCK,_Jacob_van 20628
HUMBERT_DE_SUPERVILLE,_David_Pierre_Giottino 20629
HUMMEL,_Johann_Erdmann 20630
HUNT,_William_Holman 20631
HUPIN,_Jacques 20632
HUYSMANS,_Jacob 20633
HUYSMANS,_Jan_Baptist 20634
HUYSUM,_Jan_van 20635
HUYSUM,_Justus_van,_I 20636
HÜBNER,_Julius 20637
IBBETSON,_Julius_Caesar 20638
IBI,_Sinibaldo 20639
INGLÉS,_Jorge 20640
INGRES,_Jean-Auguste-Dominique 20641
INNESS,_George 20642
IRIARTE,_Ignacio_de 20643
ISABEY,_Eug?ne 20644
ISENBRANT,_Adriaen 20645
ISRAËLS,_Jozef 20646
ITTENBACH,_Franz 20647
IVERNY,_Jacques 20648
IVÁNYI_GRÜNWALD,_Béla 20649
JACKSON,_Gilbert 20650
JACOBELLO_DEL_BONOMO 20651
JACOBELLO_DEL_FIORE 20652
JACOBSZ.,_Dirck 20653
JACOBSZ.,_Juriaen 20654
JACOBSZ.,_Lambert 20655
JACOMART,_Jaume_Baço 20656
JACOMETTO_VENEZIANO 20657
JACOPO_DA_EMPOLI 20658
JACOPO_DA_MONTAGNANA 20659
JACOPO_DA_VALENZA 20660
JACOPO_DI_CIONE 20661
JACOPO_del_CASENTINO 20662
JACOPO_del_SELLAIO 20663
JACQUAND,_Claudius 20664
JACQUE,_Charles_Émile 20665
JANNECK,_Franz_Christoph 20666
JANSSENS,_Abraham 20667
JANSSENS,_Hieronymus 20668
JANSSENS,_Jan_Willem 20669
JANSSENS,_Victor_Honoré 20670
JAQUOTOT,_Marie-Victoire 20671
JEAN_DE_BEAUMETZ 20672
JEAURAT,_Etienne 20673
JENSEN,_Christian_Albrecht 20674
JERICHAU-BAUMANN,_Elisabeth 20675
JOLI,_Antonio 20676
JONES,_Thomas 20677
JONGH,_Ludolf_de 20678
JONGKIND,_Johan_Barthold 20679
JONSON_VAN_CEULEN,_Cornelius_the_Elder 20680
JONSON_VAN_CEULEN,_Cornelius_the_Younger 20681
JOOS_van_Wassenhove 20682
JORDAENS,_Jacob 20683
JORIS,_Pio 20684
JOSEPHSON,_Ernst 20685
JOUDERVILLE,_Isaac_de 20686
JOUVENET,_Jean-Baptiste 20687
JUAN_DE_FLANDES 20688
JUANES,_Juan_de 20689
JUEL,_Jens_J?rgensen 20690
JÄRNEFELT,_Eero 20691
K?BKE,_Christen 20692
KALF,_Willem 20693
KAMPER,_Godaert 20694
KAUFFMANN,_Angelica 20695
KAULBACH,_Wilhelm_von 20696
KAUW,_Albrecht 20697
KEIL,_Bernhard 20698
KEIRINCKX,_Alexander 20699
KENSETT,_John_Frederick 20700
KERCKHOVEN,_Jacob_van_de 20701
KERN,_Anton 20702
KERSEBOOM,_Friedrich 20703
KERSTING,_Georg_Friedrich 20704
KESSEL,_Jan_van 20705
KESSEL,_Jan_van,_I 20706
KESSEL,_Jan_van,_II 20707
KETEL,_Cornelis 20708
KEUNINCK,_Kerstiaen_de 20709
KEY,_Adriaen_Thomasz 20710
KEY,_Willem 20711
KEYSER,_Nicaise_de 20712
KEYSER,_Thomas_de 20713
KICK,_Cornelis 20714
KICK,_Simon 20715
KINSOEN,_François-Joseph 20716
KLENZE,_Leo_von 20717
KNEBEL,_Franz 20718
KNELLER,_Sir_Godfrey 20719
KNIJFF,_Wouter 20720
KNIP,_Josephus_Augustus 20721
KNIP,_Mattheus_Derk 20722
KNIP,_Nicolaas_Frederik 20723
KNOLLER,_Martin 20724
KNYFF,_Jacob 20725
KNÜPFER,_Nicolaus 20726
KOBELL,_Hendrik 20727
KOBELL,_Jan_II 20728
KOBELL,_Wilhelm_von 20729
KOCH,_Joseph_Anton 20730
KOEDIJCK,_Isaack 20731
KOEKKOEK,_Barend_Cornelis 20732
KOERBECKE,_Johann 20733
KOETS,_Roelof 20734
KOLLONITSCH,_Christian 20735
KONINCK,_Daniël_de 20736
KONINCK,_Philips 20737
KONINCK,_Salomon 20738
KONRAD_von_Soest 20739
KOPISCH,_August 20740
KOROVIN,_Konstantin_Alekseyevich 20741
KR?YER,_Peter_Severin 20742
KRACKER,_Johann_Lucas 20743
KRAEN,_Adriaen_Jansz. 20744
KRAFFT,_Johann_Peter 20745
KRAFFT,_Per_the_Elder 20746
KREUGER,_Nils_Edvard 20747
KREUTZINGER,_Joseph 20748
KROHG,_Christian 20749
KRÜGER,_Franz 20750
KUCHARSKI,_Aleksander 20751
KUIJL,_Gerard_van 20752
KULMBACH,_Hans_Süss_von 20753
KUNST,_Cornelis_Cornelisz. 20754
KUPECKY,_Jan 20755
KYHN,_Vilhelm 20756
KÖNIG,_Johann 20757
L'ESTIN,_Jacques_de 20758
LA_FOSSE,_Charles_de 20759
LA_HIRE,_Laurent_de 20760
LA_THANGUE,_Henry_Herbert 20761
LA_TOUR,_Georges_de 20762
LA_TOUR,_Maurice_Quentin_de 20763
LABILLE-GUIARD,_Adélaide 20764
LACROIX,_Charles-François 20765
LAEMEN,_Christoffel_Jacobsz_van_der 20766
LAER,_Pieter_van 20767
LAGRENÉE,_Jean-Jacques 20768
LAGRENÉE,_Louis-Jean-François 20769
LAIRESSE,_Gérard_de 20770
LAJOUE,_Jacques_de 20771
LALLEMAND,_Jean-Baptiste 20772
LALLEMANT,_Georges 20773
LAMA,_Giulia 20774
LAMBERT,_George 20775
LAMPI,_Johann_Baptist_I 20776
LAMPI,_Johann_Baptist_II 20777
LANCRET,_Nicolas 20778
LANDI,_Gaspare 20779
